;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
15/01/2018;;Compra;Normal;CSNA3;BB-BI S.A.;2.100;10,75;0,00;;0,00 %
;;;;;;;;;0,00;
16/01/2018;;Venda;Normal;CSNA3;BB-BI S.A.;2.100;10,92;10,76;;1,51 %
;;;;;;;;;343,20;
16/01/2018;;Compra;Normal;USIM5;BB-BI S.A.;2.000;11,02;0,00;;0,00 %
;;;;;;;;;0,00;
17/01/2018;;Compra;Normal;CSNA3;BB-BI S.A.;2.100;10,88;0,00;;0,00 %
;;;;;;;;;0,00;
17/01/2018;;Venda;Normal;USIM5;BB-BI S.A.;2.000;11,02;11,03;;-0,06 %
;;;;;;;;;-14,33;
31/01/2018;;Venda;Normal;CSNA3;BB-BI S.A.;2.100;11,05;10,89;;1,50 %
;;;;;;;;;343,02;
07/02/2018;;Compra;Normal;CSNA3;BB-BI S.A.;2.100;10,16;0,00;;0,00 %
;;;;;;;;;0,00;
08/02/2018;;Venda;Normal;CSNA3;BB-BI S.A.;2.100;10,32;10,17;;1,51 %
;;;;;;;;;323,04;
08/02/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.200;17,21;0,00;;0,00 %
;;;;;;;;;0,00;
09/02/2018;;Compra;Normal;CSNA3;BB-BI S.A.;2.100;9,64;0,00;;0,00 %
;;;;;;;;;0,00;
09/02/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.200;17,21;17,21;;0,01 %
;;;;;;;;;2,59;
14/02/2018;;Venda;Normal;CSNA3;BB-BI S.A.;2.100;10,14;9,65;;5,12 %
;;;;;;;;;1.037,52;
16/02/2018;;Compra;Normal;CSNA3;BB-BI S.A.;1.000;10,64;0,00;;0,00 %
;;;;;;;;;0,00;
19/02/2018;;Venda;Normal;CSNA3;BB-BI S.A.;1.000;10,77;10,64;;1,25 %
;;;;;;;;;133,05;
20/02/2018;;Compra;Normal;GGBR4;BB-BI S.A.;700;16,07;0,00;;0,00 %
;;;;;;;;;0,00;
21/02/2018;;Venda;Normal;GGBR4;BB-BI S.A.;700;16,39;16,08;;1,93 %
;;;;;;;;;217,62;
21/02/2018;;Compra;Normal;GOAU4;BB-BI S.A.;2.000;7,86;0,00;;0,00 %
;;;;;;;;;0,00;
22/02/2018;;Venda;Normal;GOAU4;BB-BI S.A.;2.000;7,91;7,87;;0,57 %
;;;;;;;;;89,76;
23/02/2018;;Compra;Normal;USIM5;BB-BI S.A.;1.200;12,18;0,00;;0,00 %
;;;;;;;;;0,00;
26/02/2018;;Venda;Normal;USIM5;BB-BI S.A.;1.200;12,37;12,18;;1,60 %
;;;;;;;;;234,44;
27/02/2018;;Compra;Normal;USIM5;BB-BI S.A.;1.200;12,67;0,00;;0,00 %
;;;;;;;;;0,00;
28/02/2018;;Compra;Normal;CSNA3;BB-BI S.A.;1.500;10,22;0,00;;0,00 %
;;;;;;;;;0,00;
28/02/2018;;Venda;Normal;USIM5;BB-BI S.A.;1.200;12,55;12,67;;-0,90 %
;;;;;;;;;-137,81;
01/03/2018;;Venda;Normal;CSNA3;BB-BI S.A.;1.500;10,27;10,23;;0,48 %
;;;;;;;;;75,02;
01/03/2018;;Compra;Normal;GGBR4;BB-BI S.A.;1.000;17,10;0,00;;0,00 %
;;;;;;;;;0,00;
06/03/2018;;Venda;Normal;GGBR4;BB-BI S.A.;1.000;17,12;17,11;;0,11 %
;;;;;;;;;18,94;
06/03/2018;;Compra;Normal;USIM5;BB-BI S.A.;1.500;11,56;0,00;;0,00 %
;;;;;;;;;0,00;
08/03/2018;;Venda;Normal;USIM5;BB-BI S.A.;1.500;11,03;11,56;;-4,50 %
;;;;;;;;;-780,90;
13/03/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.000;21,69;0,00;;0,00 %
;;;;;;;;;0,00;
23/03/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.000;20,24;21,70;;-6,69 %
;;;;;;;;;-1.453,48;
26/03/2018;;Compra;Normal;CSNA3;BB-BI S.A.;2.400;8,57;0,00;;0,00 %
;;;;;;;;;0,00;
