;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
27/03/2018;;Venda;Normal;CSNA3;BB-BI S.A.;2.400;8,79;8,58;;2,51 %
;;;;;;;;;518,59;
28/03/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.000;20,56;0,00;;0,00 %
;;;;;;;;;0,00;
29/03/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.000;21,17;20,57;;2,94 %
;;;;;;;;;606,57;
04/04/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.000;20,50;0,00;;0,00 %
;;;;;;;;;0,00;
05/04/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.000;21,09;20,51;;2,86 %
;;;;;;;;;586,53;
09/04/2018;;Compra;Normal;GOLL4;BB-BI S.A.;900;22,95;0,00;;0,00 %
;;;;;;;;;0,00;
10/04/2018;;Venda;Normal;GOLL4;BB-BI S.A.;900;23,33;22,96;;1,62 %
;;;;;;;;;335,52;
13/04/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.000;21,13;0,00;;0,00 %
;;;;;;;;;0,00;
16/04/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.000;20,78;21,14;;-1,67 %
;;;;;;;;;-353,56;
19/04/2018;;Compra;Normal;GOLL4;BB-BI S.A.;800;21,41;0,00;;0,00 %
;;;;;;;;;0,00;
24/04/2018;;Venda;Normal;GOLL4;BB-BI S.A.;800;21,70;21,42;;1,31 %
;;;;;;;;;224,83;
25/04/2018;;Compra;Normal;SUZB3;BB-BI S.A.;500;38,73;0,00;;0,00 %
;;;;;;;;;0,00;
03/05/2018;;Venda;Normal;SUZB3;BB-BI S.A.;500;40,70;38,73;;5,09 %
;;;;;;;;;987,13;
09/05/2018;;Compra;Normal;SUZB3;BB-BI S.A.;900;42,69;0,00;;0,00 %
;;;;;;;;;0,00;
10/05/2018;;Venda;Normal;SUZB3;BB-BI S.A.;900;42,72;42,69;;0,07 %
;;;;;;;;;27,07;
11/05/2018;;Compra;Normal;SUZB3;BB-BI S.A.;900;42,93;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2018;;Venda;Normal;SUZB3;BB-BI S.A.;900;43,58;42,94;;1,51 %
;;;;;;;;;584,75;
15/05/2018;;Compra;Normal;SUZB3;BB-BI S.A.;800;47,11;0,00;;0,00 %
;;;;;;;;;0,00;
07/06/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.500;8,34;0,00;;0,00 %
;;;;;;;;;0,00;
07/06/2018;;Venda;Normal;SUZB3;BB-BI S.A.;800;49,92;47,12;;5,95 %
;;;;;;;;;2.243,04;
08/06/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.500;8,37;8,34;;0,36 %
;;;;;;;;;136,00;
13/06/2018;;Compra;Normal;SUZB3;BB-BI S.A.;800;46,71;0,00;;0,00 %
;;;;;;;;;0,00;
14/06/2018;;Venda;Normal;SUZB3;BB-BI S.A.;800;47,20;46,71;;1,04 %
;;;;;;;;;391,03;
03/07/2018;;Compra;Normal;CSNA3;BB-BI S.A.;5.000;7,87;0,00;;0,00 %
;;;;;;;;;0,00;
04/07/2018;;Venda;Normal;CSNA3;BB-BI S.A.;5.000;7,90;7,87;;0,39 %
;;;;;;;;;154,57;
11/07/2018;;Compra;Normal;CSNA3;BB-BI S.A.;5.000;7,60;0,00;;0,00 %
;;;;;;;;;0,00;
12/07/2018;;Venda;Normal;CSNA3;BB-BI S.A.;5.000;7,83;7,60;;3,03 %
;;;;;;;;;1.155,12;
18/07/2018;;Compra;Normal;SUZB3;BB-BI S.A.;900;42,47;0,00;;0,00 %
;;;;;;;;;0,00;
19/07/2018;;Venda;Normal;SUZB3;BB-BI S.A.;900;42,54;42,47;;0,16 %
;;;;;;;;;63,34;
25/07/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.500;8,75;0,00;;0,00 %
;;;;;;;;;0,00;
27/07/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.500;8,84;8,76;;1,02 %
;;;;;;;;;404,48;
30/07/2018;;Compra;Normal;GOLL4;BB-BI S.A.;2.700;14,53;0,00;;0,00 %
;;;;;;;;;0,00;
06/08/2018;;Venda;Normal;GOLL4;BB-BI S.A.;2.700;14,69;14,54;;1,05 %
;;;;;;;;;413,46;
10/08/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.500;9,32;0,00;;0,00 %
;;;;;;;;;0,00;
13/08/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.500;9,33;9,33;;0,10 %
;;;;;;;;;42,72;
15/08/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.400;9,04;0,00;;0,00 %
;;;;;;;;;0,00;
20/08/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.400;9,14;9,05;;1,10 %
;;;;;;;;;438,00;
21/08/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.400;9,09;0,00;;0,00 %
;;;;;;;;;0,00;
22/08/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.400;9,23;9,09;;1,54 %
;;;;;;;;;617,80;
28/08/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.800;8,49;0,00;;0,00 %
;;;;;;;;;0,00;
29/08/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.800;8,62;8,49;;1,53 %
;;;;;;;;;625,30;
03/09/2018;;Compra;Normal;CSNA3;BB-BI S.A.;5.000;8,85;0,00;;0,00 %
;;;;;;;;;0,00;
21/09/2018;;Venda;Normal;CSNA3;BB-BI S.A.;5.000;9,05;8,85;;2,26 %
;;;;;;;;;1.000,95;
24/09/2018;;Compra;Normal;CSNA3;BB-BI S.A.;5.000;8,79;0,00;;0,00 %
;;;;;;;;;0,00;
25/09/2018;;Venda;Normal;CSNA3;BB-BI S.A.;5.000;8,96;8,79;;1,93 %
;;;;;;;;;851,23;
01/10/2018;;Compra;Normal;CSNA3;BB-BI S.A.;3.800;9,31;0,00;;0,00 %
;;;;;;;;;0,00;
02/10/2018;;Venda;Normal;CSNA3;BB-BI S.A.;3.800;9,61;9,32;;3,20 %
;;;;;;;;;1.134,67;
04/10/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.100;9,61;0,00;;0,00 %
;;;;;;;;;0,00;
08/10/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.100;9,80;9,62;;1,99 %
;;;;;;;;;786,14;
10/10/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.300;9,33;0,00;;0,00 %
;;;;;;;;;0,00;
11/10/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.300;9,47;9,34;;1,49 %
;;;;;;;;;598,73;
17/10/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.000;10,10;0,00;;0,00 %
;;;;;;;;;0,00;
18/10/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.000;10,25;10,11;;1,46 %
;;;;;;;;;593,55;
23/10/2018;;Compra;Normal;CSNA3;BB-BI S.A.;4.100;9,70;0,00;;0,00 %
;;;;;;;;;0,00;
08/11/2018;;Venda;Normal;CSNA3;BB-BI S.A.;4.100;9,85;9,71;;1,53 %
;;;;;;;;;610,34;
09/11/2018;;Compra;Normal;GOLL4;BB-BI S.A.;2.000;19,95;0,00;;0,00 %
;;;;;;;;;0,00;
12/11/2018;;Venda;Normal;GOLL4;BB-BI S.A.;2.000;20,22;19,95;;1,39 %
;;;;;;;;;554,66;
19/11/2018;;Compra;Normal;GOLL4;BB-BI S.A.;2.000;20,15;0,00;;0,00 %
;;;;;;;;;0,00;
21/11/2018;;Venda;Normal;GOLL4;BB-BI S.A.;2.000;20,44;20,15;;1,47 %
;;;;;;;;;594,40;
22/11/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.700;22,09;0,00;;0,00 %
;;;;;;;;;0,00;
23/11/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.700;22,42;22,09;;1,51 %
;;;;;;;;;568,13;
26/11/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.900;20,26;0,00;;0,00 %
;;;;;;;;;0,00;
27/11/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.900;20,66;20,26;;2,00 %
;;;;;;;;;772,48;
30/11/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.800;21,61;0,00;;0,00 %
;;;;;;;;;0,00;
03/12/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.800;22,01;21,61;;1,87 %
;;;;;;;;;729,24;
06/12/2018;;Compra;Normal;GOLL4;BB-BI S.A.;2.000;20,42;0,00;;0,00 %
;;;;;;;;;0,00;
11/12/2018;;Venda;Normal;GOLL4;BB-BI S.A.;2.000;20,70;20,42;;1,40 %
;;;;;;;;;573,89;
18/12/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.400;25,13;0,00;;0,00 %
;;;;;;;;;0,00;
19/12/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.400;25,73;25,14;;2,38 %
;;;;;;;;;839,40;
26/12/2018;;Compra;Normal;GOLL4;BB-BI S.A.;1.500;24,51;0,00;;0,00 %
;;;;;;;;;0,00;
27/12/2018;;Venda;Normal;GOLL4;BB-BI S.A.;1.500;24,97;24,51;;1,88 %
;;;;;;;;;691,44;
