;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
02/01/2020;;Compra;Normal;JHSF3;BB-BI S.A.;2.600;7,60;0,00;;0,00 %
;;;;;;;;;0,00;
03/01/2020;;Compra;Normal;HBOR3;BB-BI S.A.;4.200;4,82;0,00;;0,00 %
;;;;;;;;;0,00;
03/01/2020;;Venda;Normal;JHSF3;BB-BI S.A.;2.600;7,68;7,61;;1,01 %
;;;;;;;;;201,58;
08/01/2020;;Venda;Normal;HBOR3;BB-BI S.A.;4.200;4,57;4,82;;-5,13 %
;;;;;;;;;-1.040,30;
08/01/2020;;Compra;Normal;TASA4;BB-BI S.A.;2.800;6,12;0,00;;0,00 %
;;;;;;;;;0,00;
09/01/2020;;Venda;Normal;TASA4;BB-BI S.A.;2.800;6,20;6,13;;1,28 %
;;;;;;;;;221,24;
10/01/2020;;Compra;Normal;PRIO3;BB-BI S.A.;500;37,25;0,00;;0,00 %
;;;;;;;;;0,00;
13/01/2020;;Compra;Normal;GFSA3;BB-BI S.A.;1.900;9,43;0,00;;0,00 %
;;;;;;;;;0,00;
13/01/2020;;Venda;Normal;PRIO3;BB-BI S.A.;500;37,56;37,25;;0,85 %
;;;;;;;;;158,34;
14/01/2020;;Venda;Normal;GFSA3;BB-BI S.A.;1.900;9,60;9,44;;1,73 %
;;;;;;;;;310,72;
15/01/2020;;Compra;Normal;PRIO3;BB-BI S.A.;400;41,33;0,00;;0,00 %
;;;;;;;;;0,00;
16/01/2020;;Compra;Normal;GFSA3;BB-BI S.A.;1.800;9,58;0,00;;0,00 %
;;;;;;;;;0,00;
16/01/2020;;Venda;Normal;PRIO3;BB-BI S.A.;400;41,68;41,34;;0,83 %
;;;;;;;;;137,65;
17/01/2020;;Venda;Normal;GFSA3;BB-BI S.A.;1.800;9,42;9,59;;-1,74 %
;;;;;;;;;-300,66;
17/01/2020;;Compra;Normal;PRIO3;BB-BI S.A.;400;41,04;0,00;;0,00 %
;;;;;;;;;0,00;
20/01/2020;;Compra;Normal;GFSA3;BB-BI S.A.;1.700;9,79;0,00;;0,00 %
;;;;;;;;;0,00;
20/01/2020;;Venda;Normal;PRIO3;BB-BI S.A.;400;41,46;41,05;;1,00 %
;;;;;;;;;165,71;
21/01/2020;;Venda;Normal;GFSA3;BB-BI S.A.;1.700;9,80;9,80;;0,02 %
;;;;;;;;;3,61;
21/01/2020;;Compra;Normal;PRIO3;BB-BI S.A.;300;44,76;0,00;;0,00 %
;;;;;;;;;0,00;
22/01/2020;;Venda;Normal;PRIO3;BB-BI S.A.;300;45,15;44,77;;0,86 %
;;;;;;;;;115,59;
22/01/2020;;Compra;Normal;RCSL4;BB-BI S.A.;6.000;2,66;0,00;;0,00 %
;;;;;;;;;0,00;
23/01/2020;;Venda;Normal;RCSL4;BB-BI S.A.;6.000;2,73;2,66;;2,81 %
;;;;;;;;;449,90;
23/01/2020;;Compra;Normal;SQIA3;BB-BI S.A.;500;29,51;0,00;;0,00 %
;;;;;;;;;0,00;
24/01/2020;;Compra;Normal;GFSA3;BB-BI S.A.;1.700;9,96;0,00;;0,00 %
;;;;;;;;;0,00;
24/01/2020;;Venda;Normal;SQIA3;BB-BI S.A.;500;29,24;29,52;;-0,94 %
;;;;;;;;;-139,15;
30/01/2020;;Venda;Normal;GFSA3;BB-BI S.A.;1.700;8,39;9,97;;-15,82 %
;;;;;;;;;-2.681,72;
31/01/2020;;Compra;Normal;RCSL4;BB-BI S.A.;6.800;2,03;0,00;;0,00 %
;;;;;;;;;0,00;
03/02/2020;;Compra;Normal;PRIO3;BB-BI S.A.;300;48,01;0,00;;0,00 %
;;;;;;;;;0,00;
03/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;6.800;2,09;2,03;;3,23 %
;;;;;;;;;447,24;
04/02/2020;;Venda;Normal;PRIO3;BB-BI S.A.;300;50,95;48,02;;6,10 %
;;;;;;;;;879,77;
04/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;7.200;2,10;0,00;;0,00 %
;;;;;;;;;0,00;
05/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;7.200;2,16;2,10;;3,13 %
;;;;;;;;;474,48;
05/02/2020;;Compra;Normal;VVAR3;BB-BI S.A.;2.100;15,14;0,00;;0,00 %
;;;;;;;;;0,00;
06/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;15.000;2,05;0,00;;0,00 %
;;;;;;;;;0,00;
06/02/2020;;Venda;Normal;VVAR3;BB-BI S.A.;2.100;15,29;15,15;;0,93 %
;;;;;;;;;296,20;
07/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;9.900;2,10;2,05;;2,78 %
;;;;;;;;;564,64;
10/02/2020;;Compra;Normal;VVAR3;BB-BI S.A.;1.400;13,80;0,00;;0,00 %
;;;;;;;;;0,00;
11/02/2020;;Compra;Normal;PRIO3;BB-BI S.A.;600;45,52;0,00;;0,00 %
;;;;;;;;;0,00;
11/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;5.100;1,98;2,05;;-3,11 %
;;;;;;;;;-325,77;
11/02/2020;;Venda;Normal;VVAR3;BB-BI S.A.;1.400;14,08;13,80;;2,08 %
;;;;;;;;;401,91;
12/02/2020;;Venda;Normal;PRIO3;BB-BI S.A.;600;46,46;45,52;;2,08 %
;;;;;;;;;568,91;
12/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;15.200;1,96;0,00;;0,00 %
;;;;;;;;;0,00;
13/02/2020;;Compra;Normal;GFSA3;BB-BI S.A.;3.200;9,12;0,00;;0,00 %
;;;;;;;;;0,00;
13/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;15.200;1,99;1,96;;1,90 %
;;;;;;;;;569,36;
14/02/2020;;Venda;Normal;GFSA3;BB-BI S.A.;3.200;9,21;9,13;;0,96 %
;;;;;;;;;281,82;
14/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;13.000;2,20;0,00;;0,00 %
;;;;;;;;;0,00;
17/02/2020;;Compra;Normal;PRIO3;BB-BI S.A.;600;45,03;0,00;;0,00 %
;;;;;;;;;0,00;
17/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;13.000;2,24;2,20;;2,13 %
;;;;;;;;;612,08;
18/02/2020;;Venda;Normal;PRIO3;BB-BI S.A.;600;44,61;45,03;;-0,91 %
;;;;;;;;;-246,65;
18/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;14.000;2,15;0,00;;0,00 %
;;;;;;;;;0,00;
19/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;14.000;2,19;2,15;;2,19 %
;;;;;;;;;661,14;
20/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;15.000;2,03;0,00;;0,00 %
;;;;;;;;;0,00;
