;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
21/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;15.000;2,07;2,03;;2,33 %
;;;;;;;;;710,91;
26/02/2020;;Compra;Normal;RCSL4;BB-BI S.A.;20.000;1,97;0,00;;0,00 %
;;;;;;;;;0,00;
27/02/2020;;Compra;Normal;PRIO3;BB-BI S.A.;1.000;39,82;0,00;;0,00 %
;;;;;;;;;0,00;
27/02/2020;;Venda;Normal;RCSL4;BB-BI S.A.;20.000;1,97;1,97;;0,39 %
;;;;;;;;;155,53;
02/03/2020;;Venda;Normal;PRIO3;BB-BI S.A.;1.000;40,27;39,82;;1,14 %
;;;;;;;;;455,19;
02/03/2020;;Compra;Normal;RCSL4;BB-BI S.A.;20.500;1,94;0,00;;0,00 %
;;;;;;;;;0,00;
03/03/2020;;Compra;Normal;PRIO3;BB-BI S.A.;900;41,80;0,00;;0,00 %
;;;;;;;;;0,00;
03/03/2020;;Venda;Normal;RCSL4;BB-BI S.A.;20.500;1,99;1,94;;2,97 %
;;;;;;;;;1.185,07;
04/03/2020;;Venda;Normal;PRIO3;BB-BI S.A.;900;43,87;41,80;;4,95 %
;;;;;;;;;1.864,28;
04/03/2020;;Compra;Normal;RCSL4;BB-BI S.A.;21.500;1,92;0,00;;0,00 %
;;;;;;;;;0,00;
12/03/2020;;Venda;Normal;RCSL4;BB-BI S.A.;21.500;1,30;1,92;;-31,84 %
;;;;;;;;;-13.151,25;
13/03/2020;;Compra;Normal;BRKM5;BB-BI S.A.;500;19,99;0,00;;0,00 %
;;;;;;;;;0,00;
16/03/2020;;Venda;Normal;BRKM5;BB-BI S.A.;500;17,24;20,00;;-13,75 %
;;;;;;;;;-1.375,52;
19/03/2020;;Compra;Normal;ITSA4;BB-BI S.A.;1.100;9,01;0,00;;0,00 %
;;;;;;;;;0,00;
19/03/2020;;Compra;Normal;PRIO3;BB-BI S.A.;2.500;12,43;0,00;;0,00 %
;;;;;;;;;0,00;
20/03/2020;;Venda;Normal;PRIO3;BB-BI S.A.;2.500;13,06;12,44;;5,05 %
;;;;;;;;;1.570,59;
24/03/2020;;Compra;Normal;HBOR3;BB-BI S.A.;20.000;1,46;0,00;;0,00 %
;;;;;;;;;0,00;
25/03/2020;;Venda;Normal;HBOR3;BB-BI S.A.;20.000;1,52;1,46;;4,69 %
;;;;;;;;;1.371,81;
25/03/2020;;Compra;Normal;PRIO3;BB-BI S.A.;1.700;17,29;0,00;;0,00 %
;;;;;;;;;0,00;
26/03/2020;;Venda;Normal;PRIO3;BB-BI S.A.;1.700;20,03;17,30;;15,81 %
;;;;;;;;;4.650,68;
30/03/2020;;Compra;Normal;CRFB3;BB-BI S.A.;1.600;21,58;0,00;;0,00 %
;;;;;;;;;0,00;
02/04/2020;;Venda;Normal;CRFB3;BB-BI S.A.;1.600;21,44;21,59;;-0,65 %
;;;;;;;;;-226,88;
02/04/2020;;Compra;Normal;SUZB3;BB-BI S.A.;1.000;39,91;0,00;;0,00 %
;;;;;;;;;0,00;
03/04/2020;;Compra;Normal;BEEF3;BB-BI S.A.;4.600;8,75;0,00;;0,00 %
;;;;;;;;;0,00;
03/04/2020;;Venda;Normal;SUZB3;BB-BI S.A.;1.000;40,68;39,92;;1,91 %
;;;;;;;;;765,61;
06/04/2020;;Venda;Normal;BEEF3;BB-BI S.A.;4.600;9,01;8,75;;2,99 %
;;;;;;;;;1.207,26;
06/04/2020;;Compra;Normal;SUZB3;BB-BI S.A.;1.200;40,03;0,00;;0,00 %
;;;;;;;;;0,00;
07/04/2020;;Compra;Normal;BEEF3;BB-BI S.A.;5.500;8,96;0,00;;0,00 %
;;;;;;;;;0,00;
07/04/2020;;Venda;Normal;SUZB3;BB-BI S.A.;1.200;40,89;40,04;;2,14 %
;;;;;;;;;1.028,57;
09/04/2020;;Venda;Normal;BEEF3;BB-BI S.A.;5.500;9,04;8,96;;0,92 %
;;;;;;;;;454,98;
09/04/2020;;Compra;Normal;JSLG3;BB-BI S.A.;3.100;15,72;0,00;;0,00 %
;;;;;;;;;0,00;
13/04/2020;;Venda;Normal;JSLG3;BB-BI S.A.;3.100;15,73;15,73;;0,04 %
;;;;;;;;;22,44;
13/04/2020;;Compra;Normal;SUZB3;BB-BI S.A.;1.400;36,38;0,00;;0,00 %
;;;;;;;;;0,00;
14/04/2020;;Compra;Normal;JSLG3;BB-BI S.A.;3.000;16,46;0,00;;0,00 %
;;;;;;;;;0,00;
14/04/2020;;Venda;Normal;SUZB3;BB-BI S.A.;1.400;37,08;36,38;;1,92 %
;;;;;;;;;980,82;
15/04/2020;;Compra;Normal;GFSA3;BB-BI S.A.;12.800;3,94;0,00;;0,00 %
;;;;;;;;;0,00;
15/04/2020;;Venda;Normal;JSLG3;BB-BI S.A.;3.000;16,82;16,47;;2,16 %
;;;;;;;;;1.069,73;
16/04/2020;;Venda;Normal;GFSA3;BB-BI S.A.;12.800;4,05;3,94;;2,96 %
;;;;;;;;;1.494,96;
16/04/2020;;Compra;Normal;JSLG3;BB-BI S.A.;3.100;16,68;0,00;;0,00 %
;;;;;;;;;0,00;
17/04/2020;;Compra;Normal;GFSA3;BB-BI S.A.;14.100;3,86;0,00;;0,00 %
;;;;;;;;;0,00;
17/04/2020;;Venda;Normal;JSLG3;BB-BI S.A.;3.100;17,04;16,69;;2,13 %
;;;;;;;;;1.105,30;
20/04/2020;;Venda;Normal;GFSA3;BB-BI S.A.;100;3,88;3,86;;0,73 %
;;;;;;;;;2,82;
20/04/2020;;Venda;Normal;GFSA3;BB-BI S.A.;14.000;3,86;3,86;;0,17 %
;;;;;;;;;97,22;
20/04/2020;;Compra;Normal;RCSL4;BB-BI S.A.;41.000;1,35;0,00;;0,00 %
;;;;;;;;;0,00;
22/04/2020;;Compra;Normal;JSLG3;BB-BI S.A.;3.000;18,81;0,00;;0,00 %
;;;;;;;;;0,00;
22/04/2020;;Venda;Normal;RCSL4;BB-BI S.A.;41.000;1,38;1,35;;2,88 %
;;;;;;;;;1.595,93;
23/04/2020;;Venda;Normal;JSLG3;BB-BI S.A.;3.000;19,37;18,82;;2,94 %
;;;;;;;;;1.665,24;
23/04/2020;;Compra;Normal;RCSL4;BB-BI S.A.;40.600;1,39;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2020;;Compra;Normal;MRFG3;BB-BI S.A.;4.600;12,54;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2020;;Venda;Normal;RCSL4;BB-BI S.A.;40.600;1,40;1,39;;1,35 %
;;;;;;;;;767,52;
29/04/2020;;Venda;Normal;MRFG3;BB-BI S.A.;4.600;12,79;12,54;;1,99 %
;;;;;;;;;1.150,64;
29/04/2020;;Compra;Normal;RCSL4;BB-BI S.A.;42.000;1,39;0,00;;0,00 %
;;;;;;;;;0,00;
05/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;4.400;12,50;0,00;;0,00 %
;;;;;;;;;0,00;
05/05/2020;;Venda;Normal;RCSL4;BB-BI S.A.;6.400;1,32;1,39;;-4,43 %
;;;;;;;;;-394,98;
05/05/2020;;Venda;Normal;RCSL4;BB-BI S.A.;35.600;1,29;1,39;;-6,54 %
;;;;;;;;;-3.242,42;
06/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;4.400;12,68;12,50;;1,43 %
;;;;;;;;;792,01;
06/05/2020;;Compra;Normal;KLBN3;BB-BI S.A.;14.500;3,84;0,00;;0,00 %
;;;;;;;;;0,00;
07/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;4.000;13,82;0,00;;0,00 %
;;;;;;;;;0,00;
07/05/2020;;Venda;Normal;KLBN3;BB-BI S.A.;14.500;3,88;3,84;;1,22 %
;;;;;;;;;680,63;
08/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;4.000;13,95;13,83;;0,93 %
;;;;;;;;;515,93;
08/05/2020;;Compra;Normal;KLBN3;BB-BI S.A.;12.700;4,39;0,00;;0,00 %
;;;;;;;;;0,00;
11/05/2020;;Venda;Normal;KLBN3;BB-BI S.A.;12.700;4,43;4,39;;1,05 %
;;;;;;;;;590,61;
11/05/2020;;Compra;Normal;RCSL4;BB-BI S.A.;37.100;1,45;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;3.900;14,40;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2020;;Venda;Normal;RCSL4;BB-BI S.A.;37.100;1,46;1,45;;1,29 %
;;;;;;;;;698,78;
13/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;3.900;14,55;14,41;;1,03 %
;;;;;;;;;579,36;
13/05/2020;;Compra;Normal;KLBN4;BB-BI S.A.;12.100;4,65;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;3.900;14,33;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2020;;Venda;Normal;KLBN4;BB-BI S.A.;12.100;4,70;4,65;;1,21 %
;;;;;;;;;681,27;
15/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;3.900;14,48;14,34;;1,03 %
;;;;;;;;;579,53;
15/05/2020;;Compra;Normal;RCSL4;BB-BI S.A.;45.500;1,28;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2020;;Compra;Normal;CPLE6;BB-BI S.A.;1.700;58,75;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2020;;Venda;Normal;RCSL4;BB-BI S.A.;45.500;1,29;1,28;;1,48 %
;;;;;;;;;863,99;
19/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;7.400;13,60;0,00;;0,00 %
;;;;;;;;;0,00;
19/05/2020;;Venda;Normal;CPLE6;BB-BI S.A.;1.700;59,33;58,75;;0,99 %
;;;;;;;;;994,38;
20/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;7.400;13,74;13,61;;1,02 %
;;;;;;;;;1.027,98;
20/05/2020;;Compra;Normal;CPLE6;BB-BI S.A.;1.800;56,74;0,00;;0,00 %
;;;;;;;;;0,00;
21/05/2020;;Venda;Normal;CPLE6;BB-BI S.A.;1.800;57,30;56,74;;0,99 %
;;;;;;;;;1.015,08;
25/05/2020;;Compra;Normal;MGLU3;BB-BI S.A.;1.700;60,42;0,00;;0,00 %
;;;;;;;;;0,00;
26/05/2020;;Compra;Normal;BEEF3;BB-BI S.A.;8.100;12,83;0,00;;0,00 %
;;;;;;;;;0,00;
26/05/2020;;Venda;Normal;MGLU3;BB-BI S.A.;1.700;63,17;60,42;;4,55 %
;;;;;;;;;4.675,59;
27/05/2020;;Venda;Normal;BEEF3;BB-BI S.A.;8.100;12,96;12,84;;1,00 %
;;;;;;;;;1.049,95;
27/05/2020;;Compra;Normal;BRKM5;BB-BI S.A.;3.800;27,61;0,00;;0,00 %
;;;;;;;;;0,00;
28/05/2020;;Venda;Normal;BRKM5;BB-BI S.A.;3.800;27,88;27,61;;1,00 %
;;;;;;;;;1.055,35;
28/05/2020;;Compra;Normal;POSI3;BB-BI S.A.;27.300;4,07;0,00;;0,00 %
;;;;;;;;;0,00;
01/06/2020;;Compra;Normal;ELET3;BB-BI S.A.;3.900;29,34;0,00;;0,00 %
;;;;;;;;;0,00;
01/06/2020;;Venda;Normal;POSI3;BB-BI S.A.;27.300;4,11;4,07;;1,14 %
;;;;;;;;;1.276,44;
02/06/2020;;Venda;Normal;ELET3;BB-BI S.A.;3.900;29,71;29,34;;1,28 %
;;;;;;;;;1.469,42;
02/06/2020;;Compra;Normal;PMAM3;BB-BI S.A.;8.900;13,45;0,00;;0,00 %
;;;;;;;;;0,00;
03/06/2020;;Compra;Normal;CCPR3;BB-BI S.A.;7.900;14,90;0,00;;0,00 %
;;;;;;;;;0,00;
03/06/2020;;Venda;Normal;PMAM3;BB-BI S.A.;8.900;13,59;13,46;;1,03 %
;;;;;;;;;1.241,27;
04/06/2020;;Venda;Normal;CCPR3;BB-BI S.A.;7.900;15,06;14,91;;1,06 %
;;;;;;;;;1.250,49;
04/06/2020;;Compra;Normal;EMBR3;BB-BI S.A.;13.500;8,93;0,00;;0,00 %
;;;;;;;;;0,00;
05/06/2020;;Compra;Normal;AALR3;BB-BI S.A.;10.600;11,80;0,00;;0,00 %
;;;;;;;;;0,00;
05/06/2020;;Venda;Normal;EMBR3;BB-BI S.A.;13.500;9,45;8,93;;5,85 %
;;;;;;;;;7.058,95;
08/06/2020;;Venda;Normal;AALR3;BB-BI S.A.;10.600;11,98;11,80;;1,53 %
;;;;;;;;;1.916,75;
08/06/2020;;Compra;Normal;CAMB3;BB-BI S.A.;30.800;4,25;0,00;;0,00 %
;;;;;;;;;0,00;
09/06/2020;;Compra;Normal;AALR3;BB-BI S.A.;9.000;13,32;0,00;;0,00 %
;;;;;;;;;0,00;
09/06/2020;;Venda;Normal;CAMB3;BB-BI S.A.;30.800;4,07;4,25;;-4,07 %
;;;;;;;;;-5.334,59;
10/06/2020;;Venda;Normal;AALR3;BB-BI S.A.;9.000;11,94;13,33;;-10,37 %
;;;;;;;;;-12.442,62;
10/06/2020;;Compra;Normal;PMAM3;BB-BI S.A.;7.900;14,23;0,00;;0,00 %
;;;;;;;;;0,00;
12/06/2020;;Compra;Normal;BEEF3;BB-BI S.A.;7.600;13,07;0,00;;0,00 %
;;;;;;;;;0,00;
12/06/2020;;Venda;Normal;PMAM3;BB-BI S.A.;7.900;13,15;14,24;;-7,59 %
;;;;;;;;;-8.539,22;
15/06/2020;;Venda;Normal;BEEF3;BB-BI S.A.;7.600;13,21;13,07;;1,07 %
;;;;;;;;;1.063,77;
15/06/2020;;Compra;Normal;SAPR11;BB-BI S.A.;3.300;30,74;0,00;;0,00 %
;;;;;;;;;0,00;
16/06/2020;;Compra;Normal;JHSF3;BB-BI S.A.;17.000;5,93;0,00;;0,00 %
;;;;;;;;;0,00;
16/06/2020;;Venda;Normal;SAPR11;BB-BI S.A.;3.300;31,48;30,74;;2,42 %
;;;;;;;;;2.458,16;
17/06/2020;;Compra;Normal;HBOR3;BB-BI S.A.;36.700;2,75;0,00;;0,00 %
;;;;;;;;;0,00;
17/06/2020;;Venda;Normal;JHSF3;BB-BI S.A.;17.000;5,99;5,93;;1,09 %
;;;;;;;;;1.107,95;
18/06/2020;;Venda;Normal;HBOR3;BB-BI S.A.;36.700;2,79;2,75;;1,73 %
;;;;;;;;;1.752,68;
18/06/2020;;Compra;Normal;JHSF3;BB-BI S.A.;16.200;6,34;0,00;;0,00 %
;;;;;;;;;0,00;
19/06/2020;;Compra;Normal;HBOR3;BB-BI S.A.;37.600;2,88;0,00;;0,00 %
;;;;;;;;;0,00;
19/06/2020;;Venda;Normal;JHSF3;BB-BI S.A.;16.200;6,48;6,34;;2,28 %
;;;;;;;;;2.346,40;
22/06/2020;;Venda;Normal;HBOR3;BB-BI S.A.;37.600;2,94;2,88;;2,34 %
;;;;;;;;;2.544,90;
22/06/2020;;Compra;Normal;JHSF3;BB-BI S.A.;15.400;6,87;0,00;;0,00 %
;;;;;;;;;0,00;
23/06/2020;;Compra;Normal;HBOR3;BB-BI S.A.;36.400;3,02;0,00;;0,00 %
;;;;;;;;;0,00;
23/06/2020;;Venda;Normal;JHSF3;BB-BI S.A.;15.400;6,97;6,87;;1,42 %
;;;;;;;;;1.507,75;
24/06/2020;;Venda;Normal;HBOR3;BB-BI S.A.;36.400;3,05;3,02;;1,24 %
;;;;;;;;;1.368,25;
24/06/2020;;Compra;Normal;JHSF3;BB-BI S.A.;15.600;7,05;0,00;;0,00 %
;;;;;;;;;0,00;
25/06/2020;;Compra;Normal;HBOR3;BB-BI S.A.;38.400;2,93;0,00;;0,00 %
;;;;;;;;;0,00;
25/06/2020;;Venda;Normal;JHSF3;BB-BI S.A.;15.600;7,12;7,05;;1,05 %
;;;;;;;;;1.160,28;
26/06/2020;;Venda;Normal;HBOR3;BB-BI S.A.;38.400;2,96;2,93;;1,28 %
;;;;;;;;;1.446,63;
26/06/2020;;Compra;Normal;JHSF3;BB-BI S.A.;16.500;6,80;0,00;;0,00 %
;;;;;;;;;0,00;
29/06/2020;;Venda;Normal;JHSF3;BB-BI S.A.;16.500;6,90;6,80;;1,53 %
;;;;;;;;;1.725,74;
29/06/2020;;Compra;Normal;SAPR11;BB-BI S.A.;400;31,13;0,00;;0,00 %
;;;;;;;;;0,00;
29/06/2020;;Compra;Normal;SAPR11;BB-BI S.A.;400;31,15;0,00;;0,00 %
;;;;;;;;;0,00;
29/06/2020;;Compra;Normal;SAPR11;BB-BI S.A.;2.800;31,32;0,00;;0,00 %
;;;;;;;;;0,00;
30/06/2020;;Compra;Normal;HBOR3;BB-BI S.A.;37.600;2,95;0,00;;0,00 %
;;;;;;;;;0,00;
30/06/2020;;Venda;Normal;SAPR11;BB-BI S.A.;3.600;31,51;31,28;;0,75 %
;;;;;;;;;852,89;
01/07/2020;;Venda;Normal;HBOR3;BB-BI S.A.;37.600;2,98;2,95;;1,27 %
;;;;;;;;;1.415,62;
01/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;14.500;7,89;0,00;;0,00 %
;;;;;;;;;0,00;
02/07/2020;;Compra;Normal;HBOR3;BB-BI S.A.;37.500;3,11;0,00;;0,00 %
;;;;;;;;;0,00;
02/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;14.500;8,17;7,89;;3,59 %
;;;;;;;;;4.113,89;
03/07/2020;;Venda;Normal;HBOR3;BB-BI S.A.;37.500;3,14;3,11;;1,20 %
;;;;;;;;;1.408,59;
03/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;13.300;9,10;0,00;;0,00 %
;;;;;;;;;0,00;
06/07/2020;;Compra;Normal;HBOR3;BB-BI S.A.;39.000;3,30;0,00;;0,00 %
;;;;;;;;;0,00;
06/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;13.300;9,89;9,10;;8,70 %
;;;;;;;;;10.543,10;
07/07/2020;;Venda;Normal;HBOR3;BB-BI S.A.;39.000;3,26;3,30;;-0,98 %
;;;;;;;;;-1.267,97;
07/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;13.100;9,77;0,00;;0,00 %
;;;;;;;;;0,00;
08/07/2020;;Compra;Normal;GFSA3;BB-BI S.A.;20.100;6,40;0,00;;0,00 %
;;;;;;;;;0,00;
08/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;13.100;9,87;9,77;;1,04 %
;;;;;;;;;1.342,65;
09/07/2020;;Venda;Normal;GFSA3;BB-BI S.A.;20.100;6,46;6,40;;1,01 %
;;;;;;;;;1.308,26;
09/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;13.800;9,44;0,00;;0,00 %
;;;;;;;;;0,00;
10/07/2020;;Compra;Normal;GFSA3;BB-BI S.A.;20.300;6,42;0,00;;0,00 %
;;;;;;;;;0,00;
10/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;13.800;9,54;9,44;;1,08 %
;;;;;;;;;1.418,23;
13/07/2020;;Venda;Normal;GFSA3;BB-BI S.A.;20.300;6,48;6,42;;1,01 %
;;;;;;;;;1.321,23;
13/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;13.600;9,45;0,00;;0,00 %
;;;;;;;;;0,00;
14/07/2020;;Compra;Normal;COGN3;BB-BI S.A.;15.200;8,62;0,00;;0,00 %
;;;;;;;;;0,00;
14/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;13.600;9,55;9,45;;1,08 %
;;;;;;;;;1.397,31;
15/07/2020;;Venda;Normal;COGN3;BB-BI S.A.;15.200;8,84;8,62;;2,59 %
;;;;;;;;;3.395,17;
15/07/2020;;Compra;Normal;JHSF3;BB-BI S.A.;12.800;10,51;0,00;;0,00 %
;;;;;;;;;0,00;
17/07/2020;;Compra;Normal;COGN3;BB-BI S.A.;13.400;9,35;0,00;;0,00 %
;;;;;;;;;0,00;
17/07/2020;;Venda;Normal;JHSF3;BB-BI S.A.;12.800;9,86;10,51;;-6,16 %
;;;;;;;;;-8.291,39;
20/07/2020;;Compra;Normal;BPAC11;BB-BI S.A.;1.400;92,53;0,00;;0,00 %
;;;;;;;;;0,00;
20/07/2020;;Venda;Normal;COGN3;BB-BI S.A.;13.400;9,45;9,35;;1,09 %
;;;;;;;;;1.377,29;
21/07/2020;;Venda;Normal;BPAC11;BB-BI S.A.;1.400;93,54;92,54;;1,09 %
;;;;;;;;;1.412,71;
21/07/2020;;Compra;Normal;COGN3;BB-BI S.A.;13.900;9,40;0,00;;0,00 %
;;;;;;;;;0,00;
22/07/2020;;Venda;Normal;COGN3;BB-BI S.A.;13.900;9,18;9,40;;-2,30 %
;;;;;;;;;-3.017,64;
22/07/2020;;Compra;Normal;VVAR3;BB-BI S.A.;6.000;21,29;0,00;;0,00 %
;;;;;;;;;0,00;
23/07/2020;;Compra;Normal;BIDI4;BB-BI S.A.;7.200;18,00;0,00;;0,00 %
