;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
;;;;;;;;;320,81;
26/03/2019;;Compra;Normal;CSNA3;BB-BI S.A.;1.000;15,84;0,00;;0,00 %
;;;;;;;;;0,00;
27/03/2019;;Venda;Normal;CSNA3;BB-BI S.A.;1.000;15,17;15,85;;-4,22 %
;;;;;;;;;-669,81;
27/03/2019;;Compra;Normal;SUZB3;BB-BI S.A.;300;47,51;0,00;;0,00 %
;;;;;;;;;0,00;
29/03/2019;;Compra;Normal;CSNA3;BB-BI S.A.;900;16,26;0,00;;0,00 %
;;;;;;;;;0,00;
29/03/2019;;Venda;Normal;SUZB3;BB-BI S.A.;300;45,86;47,52;;-3,48 %
;;;;;;;;;-496,86;
02/04/2019;;Venda;Normal;CSNA3;BB-BI S.A.;900;16,68;16,27;;2,56 %
;;;;;;;;;375,62;
03/04/2019;;Compra;Normal;CSNA3;BB-BI S.A.;900;17,16;0,00;;0,00 %
;;;;;;;;;0,00;
10/04/2019;;Venda;Normal;CSNA3;BB-BI S.A.;900;16,61;17,17;;-3,22 %
;;;;;;;;;-497,60;
17/04/2019;;Compra;Normal;OIBR3;BB-BI S.A.;6.100;1,61;0,00;;0,00 %
;;;;;;;;;0,00;
18/04/2019;;Venda;Normal;OIBR3;BB-BI S.A.;6.100;1,63;1,61;;1,59 %
;;;;;;;;;156,73;
22/04/2019;;Compra;Normal;OIBR3;BB-BI S.A.;6.100;1,71;0,00;;0,00 %
;;;;;;;;;0,00;
23/04/2019;;Venda;Normal;OIBR3;BB-BI S.A.;6.100;1,74;1,71;;2,08 %
;;;;;;;;;217,33;
26/04/2019;;Compra;Normal;OIBR3;BB-BI S.A.;8.000;1,67;0,00;;0,00 %
;;;;;;;;;0,00;
29/04/2019;;Venda;Normal;OIBR3;BB-BI S.A.;8.000;1,68;1,67;;0,98 %
;;;;;;;;;131,51;
30/04/2019;;Compra;Normal;OIBR3;BB-BI S.A.;8.300;1,69;0,00;;0,00 %
;;;;;;;;;0,00;
02/05/2019;;Venda;Normal;OIBR3;BB-BI S.A.;8.300;1,71;1,69;;1,56 %
;;;;;;;;;220,06;
03/05/2019;;Compra;Normal;CSNA3;BB-BI S.A.;1.100;14,31;0,00;;0,00 %
;;;;;;;;;0,00;
06/05/2019;;Venda;Normal;CSNA3;BB-BI S.A.;1.100;13,95;14,31;;-2,49 %
;;;;;;;;;-392,92;
06/05/2019;;Compra;Normal;OIBR3;BB-BI S.A.;7.000;1,74;0,00;;0,00 %
;;;;;;;;;0,00;
09/05/2019;;Venda;Normal;OIBR3;BB-BI S.A.;7.000;1,55;1,74;;-10,55 %
;;;;;;;;;-1.287,37;
21/05/2019;;Compra;Normal;OIBR3;BB-BI S.A.;7.000;1,45;0,00;;0,00 %
;;;;;;;;;0,00;
22/05/2019;;Venda;Normal;OIBR3;BB-BI S.A.;7.000;1,47;1,45;;1,80 %
;;;;;;;;;183,45;
27/05/2019;;Compra;Normal;BPAN4;BB-BI S.A.;2.000;5,35;0,00;;0,00 %
;;;;;;;;;0,00;
28/05/2019;;Venda;Normal;BPAN4;BB-BI S.A.;2.000;5,45;5,36;;1,86 %
;;;;;;;;;200,00;
28/05/2019;;Compra;Normal;GOLL4;BB-BI S.A.;400;26,51;0,00;;0,00 %
;;;;;;;;;0,00;
29/05/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.800;5,80;0,00;;0,00 %
;;;;;;;;;0,00;
29/05/2019;;Venda;Normal;GOLL4;BB-BI S.A.;400;26,66;26,52;;0,57 %
;;;;;;;;;60,59;
30/05/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.800;6,18;5,81;;6,45 %
;;;;;;;;;675,11;
30/05/2019;;Compra;Normal;GOLL4;BB-BI S.A.;500;27,05;0,00;;0,00 %
;;;;;;;;;0,00;
31/05/2019;;Venda;Normal;GOLL4;BB-BI S.A.;500;27,20;27,06;;0,52 %
;;;;;;;;;71,34;
03/06/2019;;Compra;Normal;GOLL4;BB-BI S.A.;600;27,33;0,00;;0,00 %
;;;;;;;;;0,00;
04/06/2019;;Venda;Normal;GOLL4;BB-BI S.A.;600;28,10;27,34;;2,81 %
;;;;;;;;;461,41;
06/06/2019;;Compra;Normal;GOLL4;BB-BI S.A.;600;29,27;0,00;;0,00 %
;;;;;;;;;0,00;
07/06/2019;;Compra;Normal;BPAN4;BB-BI S.A.;2.600;6,96;0,00;;0,00 %
;;;;;;;;;0,00;
07/06/2019;;Venda;Normal;GOLL4;BB-BI S.A.;600;29,48;29,28;;0,71 %
;;;;;;;;;124,80;
10/06/2019;;Venda;Normal;BPAN4;BB-BI S.A.;2.600;7,17;6,97;;2,98 %
;;;;;;;;;540,32;
10/06/2019;;Compra;Normal;GOLL4;BB-BI S.A.;600;30,88;0,00;;0,00 %
;;;;;;;;;0,00;
11/06/2019;;Compra;Normal;CSNA3;BB-BI S.A.;1.000;18,23;0,00;;0,00 %
;;;;;;;;;0,00;
11/06/2019;;Venda;Normal;GOLL4;BB-BI S.A.;600;30,77;30,89;;-0,36 %
;;;;;;;;;-67,74;
17/06/2019;;Venda;Normal;CSNA3;BB-BI S.A.;1.000;16,34;18,24;;-10,36 %
;;;;;;;;;-1.890,97;
18/06/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.900;7,89;0,00;;0,00 %
;;;;;;;;;0,00;
19/06/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.900;7,92;7,90;;0,30 %
;;;;;;;;;46,45;
24/06/2019;;Compra;Normal;GOLL4;BB-BI S.A.;500;31,96;0,00;;0,00 %
;;;;;;;;;0,00;
25/06/2019;;Venda;Normal;GOLL4;BB-BI S.A.;500;31,24;31,96;;-2,25 %
;;;;;;;;;-360,03;
01/07/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.600;9,65;0,00;;0,00 %
;;;;;;;;;0,00;
02/07/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.600;9,93;9,66;;2,80 %
;;;;;;;;;434,05;
10/07/2019;;Compra;Normal;PDGR3;BB-BI S.A.;1.700;7,00;0,00;;0,00 %
;;;;;;;;;0,00;
17/07/2019;;Venda;Normal;PDGR3;BB-BI S.A.;1.700;7,06;7,01;;0,76 %
;;;;;;;;;91,42;
18/07/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.200;10,06;0,00;;0,00 %
;;;;;;;;;0,00;
19/07/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.200;10,24;10,06;;1,85 %
;;;;;;;;;224,27;
26/07/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.300;9,64;0,00;;0,00 %
;;;;;;;;;0,00;
29/07/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.300;9,76;9,64;;1,33 %
;;;;;;;;;167,00;
30/07/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.400;9,51;0,00;;0,00 %
;;;;;;;;;0,00;
31/07/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.400;9,50;9,51;;0,00 %
;;;;;;;;;-0,43;
01/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.500;9,59;0,00;;0,00 %
;;;;;;;;;0,00;
02/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.500;9,77;9,60;;1,77 %
;;;;;;;;;255,80;
08/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.200;11,81;0,00;;0,00 %
;;;;;;;;;0,00;
09/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.200;11,94;11,81;;1,14 %
;;;;;;;;;162,98;
13/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.100;11,57;0,00;;0,00 %
;;;;;;;;;0,00;
14/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.100;10,92;11,57;;-5,57 %
;;;;;;;;;-709,82;
16/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;900;10,01;0,00;;0,00 %
;;;;;;;;;0,00;
19/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;900;10,33;10,01;;3,20 %
;;;;;;;;;289,20;
23/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.200;9,21;0,00;;0,00 %
;;;;;;;;;0,00;
26/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.200;9,37;9,21;;1,81 %
;;;;;;;;;200,94;
27/08/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.300;8,39;0,00;;0,00 %
;;;;;;;;;0,00;
28/08/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.300;8,12;8,39;;-3,10 %
;;;;;;;;;-338,78;
02/09/2019;;Compra;Normal;PDGR3;BB-BI S.A.;3.700;5,44;0,00;;0,00 %
;;;;;;;;;0,00;
03/09/2019;;Venda;Normal;PDGR3;BB-BI S.A.;800;5,46;5,44;;0,39 %
;;;;;;;;;17,09;
04/09/2019;;Compra;Normal;BPAN4;BB-BI S.A.;2.200;9,13;0,00;;0,00 %
;;;;;;;;;0,00;
04/09/2019;;Venda;Normal;PDGR3;BB-BI S.A.;2.900;5,52;5,44;;1,47 %
;;;;;;;;;233,16;
05/09/2019;;Venda;Normal;BPAN4;BB-BI S.A.;2.200;9,31;9,14;;1,91 %
;;;;;;;;;385,31;
09/09/2019;;Compra;Normal;BPAN4;BB-BI S.A.;1.900;9,80;0,00;;0,00 %
;;;;;;;;;0,00;
11/09/2019;;Venda;Normal;BPAN4;BB-BI S.A.;1.900;10,00;9,81;;1,97 %
;;;;;;;;;367,23;
12/09/2019;;Compra;Normal;OIBR3;BB-BI S.A.;14.100;1,17;0,00;;0,00 %
;;;;;;;;;0,00;
26/09/2019;;Venda;Normal;OIBR3;BB-BI S.A.;14.100;0,93;1,17;;-19,81 %
;;;;;;;;;-3.272,29;
16/10/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.200;3,07;0,00;;0,00 %
;;;;;;;;;0,00;
17/10/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.200;3,11;3,07;;1,40 %
;;;;;;;;;181,78;
21/10/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.000;3,32;0,00;;0,00 %
;;;;;;;;;0,00;
22/10/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.000;3,38;3,32;;1,89 %
;;;;;;;;;251,51;
23/10/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.000;3,33;0,00;;0,00 %
;;;;;;;;;0,00;
28/10/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.000;3,23;3,33;;-2,91 %
;;;;;;;;;-388,30;
29/10/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.100;3,15;0,00;;0,00 %
;;;;;;;;;0,00;
30/10/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.100;3,10;3,15;;-1,48 %
;;;;;;;;;-192,11;
04/11/2019;;Compra;Normal;HBOR3;BB-BI S.A.;3.500;3,48;0,00;;0,00 %
;;;;;;;;;0,00;
05/11/2019;;Venda;Normal;HBOR3;BB-BI S.A.;3.500;3,48;3,48;;0,05 %
;;;;;;;;;7,28;
07/11/2019;;Compra;Normal;HBOR3;BB-BI S.A.;3.000;3,43;0,00;;0,00 %
;;;;;;;;;0,00;
13/11/2019;;Venda;Normal;HBOR3;BB-BI S.A.;3.000;3,25;3,43;;-5,20 %
;;;;;;;;;-536,34;
29/11/2019;;Compra;Normal;HBOR3;BB-BI S.A.;2.900;3,66;0,00;;0,00 %
;;;;;;;;;0,00;
02/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;2.900;3,66;3,66;;0,11 %
;;;;;;;;;12,28;
03/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;2.900;3,66;0,00;;0,00 %
;;;;;;;;;0,00;
04/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;2.900;3,69;3,66;;0,84 %
;;;;;;;;;89,31;
04/12/2019;;Compra;Normal;TASA4;BB-BI S.A.;2.100;5,03;0,00;;0,00 %
;;;;;;;;;0,00;
05/12/2019;;Venda;Normal;TASA4;BB-BI S.A.;2.100;5,21;5,04;;3,51 %
;;;;;;;;;372,26;
06/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;2.700;3,79;0,00;;0,00 %
;;;;;;;;;0,00;
09/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;2.700;3,82;3,79;;0,79 %
;;;;;;;;;81,56;
09/12/2019;;Compra;Normal;JHSF3;BB-BI S.A.;1.700;6,37;0,00;;0,00 %
;;;;;;;;;0,00;
10/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;3.100;3,89;0,00;;0,00 %
;;;;;;;;;0,00;
10/12/2019;;Venda;Normal;JHSF3;BB-BI S.A.;1.700;6,43;6,38;;0,85 %
;;;;;;;;;92,18;
11/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;3.100;3,92;3,89;;0,79 %
;;;;;;;;;96,41;
12/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;2.500;4,14;0,00;;0,00 %
;;;;;;;;;0,00;
13/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;2.500;4,18;4,15;;0,95 %
;;;;;;;;;98,48;
13/12/2019;;Compra;Normal;JHSF3;BB-BI S.A.;1.600;6,71;0,00;;0,00 %
;;;;;;;;;0,00;
16/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.500;4,21;0,00;;0,00 %
;;;;;;;;;0,00;
16/12/2019;;Venda;Normal;JHSF3;BB-BI S.A.;1.600;6,77;6,72;;0,79 %
;;;;;;;;;85,24;
17/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.500;4,25;4,21;;1,01 %
;;;;;;;;;193,06;
17/12/2019;;Compra;Normal;JHSF3;BB-BI S.A.;2.800;6,73;0,00;;0,00 %
;;;;;;;;;0,00;
18/12/2019;;Venda;Normal;JHSF3;BB-BI S.A.;2.800;6,68;6,74;;-0,76 %
;;;;;;;;;-143,76;
19/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;3.600;4,28;0,00;;0,00 %
;;;;;;;;;0,00;
20/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;3.600;4,28;4,28;;0,04 %
;;;;;;;;;6,34;
20/12/2019;;Compra;Normal;JHSF3;BB-BI S.A.;3.000;6,76;0,00;;0,00 %
;;;;;;;;;0,00;
23/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.200;4,50;0,00;;0,00 %
;;;;;;;;;0,00;
23/12/2019;;Venda;Normal;JHSF3;BB-BI S.A.;3.000;6,84;6,77;;1,16 %
;;;;;;;;;237,21;
26/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.200;4,54;4,50;;0,94 %
;;;;;;;;;178,10;
26/12/2019;;Compra;Normal;JHSF3;BB-BI S.A.;2.500;7,24;0,00;;0,00 %
;;;;;;;;;0,00;
27/12/2019;;Compra;Normal;HBOR3;BB-BI S.A.;4.200;4,50;0,00;;0,00 %
;;;;;;;;;0,00;
27/12/2019;;Venda;Normal;JHSF3;BB-BI S.A.;2.500;7,32;7,25;;1,06 %
;;;;;;;;;193,59;
30/12/2019;;Venda;Normal;HBOR3;BB-BI S.A.;4.200;4,54;4,50;;0,94 %
;;;;;;;;;178,10;
