;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
02/01/2019;;Compra;Normal;GOLL4;BB-BI S.A.;1.400;25,46;0,00;;0,00 %
;;;;;;;;;0,00;
17/01/2019;;Compra;Normal;FJTA4;BB-BI S.A.;5.300;5,79;0,00;;0,00 %
;;;;;;;;;0,00;
17/01/2019;;Venda;Normal;GOLL4;BB-BI S.A.;1.400;24,11;25,47;;-5,30 %
;;;;;;;;;-1.890,10;
18/01/2019;;Venda;Normal;FJTA4;BB-BI S.A.;5.300;6,07;5,79;;4,87 %
;;;;;;;;;1.496,88;
21/01/2019;;Compra;Normal;FJTA4;BB-BI S.A.;5.600;5,60;0,00;;0,00 %
;;;;;;;;;0,00;
29/01/2019;;Venda;Normal;FJTA4;BB-BI S.A.;5.600;4,46;5,60;;-20,39 %
;;;;;;;;;-6.401,02;
30/01/2019;;Compra;Normal;SUZB3;BB-BI S.A.;500;46,63;0,00;;0,00 %
;;;;;;;;;0,00;
31/01/2019;;Venda;Normal;SUZB3;BB-BI S.A.;500;47,11;46,63;;1,02 %
;;;;;;;;;240,01;
01/02/2019;;Compra;Normal;SUZB3;BB-BI S.A.;600;46,64;0,00;;0,00 %
;;;;;;;;;0,00;
04/02/2019;;Venda;Normal;SUZB3;BB-BI S.A.;600;46,97;46,64;;0,72 %
;;;;;;;;;202,16;
05/02/2019;;Compra;Normal;SUZB3;BB-BI S.A.;600;47,32;0,00;;0,00 %
;;;;;;;;;0,00;
06/02/2019;;Venda;Normal;SUZB3;BB-BI S.A.;600;48,20;47,32;;1,87 %
;;;;;;;;;531,92;
11/02/2019;;Compra;Normal;SUZB3;BB-BI S.A.;600;46,72;0,00;;0,00 %
;;;;;;;;;0,00;
20/02/2019;;Venda;Normal;SUZB3;BB-BI S.A.;600;47,31;46,72;;1,27 %
;;;;;;;;;358,20;
21/02/2019;;Compra;Normal;BPAN4;BB-BI S.A.;6.000;3,40;0,00;;0,00 %
;;;;;;;;;0,00;
21/02/2019;;Compra;Normal;INEP4;BB-BI S.A.;700;13,24;0,00;;0,00 %
;;;;;;;;;0,00;
22/02/2019;;Venda;Normal;BPAN4;BB-BI S.A.;6.000;3,29;3,40;;-3,23 %
;;;;;;;;;-660,66;
22/02/2019;;Compra;Normal;CSNA3;BB-BI S.A.;1.600;12,41;0,00;;0,00 %
;;;;;;;;;0,00;
25/02/2019;;Compra;Normal;CSNA3;BB-BI S.A.;800;13,11;0,00;;0,00 %
;;;;;;;;;0,00;
25/02/2019;;Venda;Normal;INEP4;BB-BI S.A.;700;13,48;13,25;;1,75 %
;;;;;;;;;163,10;
26/02/2019;;Venda;Normal;CSNA3;BB-BI S.A.;2.400;13,13;12,65;;3,84 %
;;;;;;;;;1.166,49;
27/02/2019;;Compra;Normal;INEP4;BB-BI S.A.;2.000;15,10;0,00;;0,00 %
;;;;;;;;;0,00;
28/02/2019;;Venda;Normal;INEP4;BB-BI S.A.;2.000;15,23;15,11;;0,79 %
;;;;;;;;;240,86;
07/03/2019;;Compra;Normal;CSNA3;BB-BI S.A.;2.700;14,74;0,00;;0,00 %
;;;;;;;;;0,00;
12/03/2019;;Venda;Normal;CSNA3;BB-BI S.A.;2.700;14,76;14,75;;0,08 %
;;;;;;;;;35,77;
20/03/2019;;Compra;Normal;CSNA3;BB-BI S.A.;1.100;15,91;0,00;;0,00 %
;;;;;;;;;0,00;
21/03/2019;;Venda;Normal;CSNA3;BB-BI S.A.;1.100;16,20;15,91;;1,83 %
